t[s]	U[V]	I[A]	Piro[°C]	TC-K[°C]
  1,190	 -0,074	  0,092	700,116	883,038
  1,200	 -0,079	  0,094	700,118	883,037
  1,210	 -0,085	  0,100	700,057	883,059
  1,220	 -0,081	  0,098	700,052	883,059
  1,230	 -0,082	  0,095	700,037	883,059
  1,240	 -0,082	  0,097	700,050	883,059
  1,250	 -0,083	  0,098	700,065	883,059
  1,260	 -0,080	  0,110	700,069	883,044
  1,270	 -0,078	  0,112	700,072	883,035
  1,280	 -0,079	  0,107	700,061	883,035
  1,290	 -0,084	  0,107	700,058	883,035
  1,300	 -0,075	  0,106	700,026	883,035
  1,310	 -0,073	  0,103	700,019	883,035
  1,320	 -0,078	  0,098	699,991	883,035
  1,330	 -0,086	  0,097	700,019	883,045
  1,340	 -0,081	  0,096	700,060	883,059
  1,350	 -0,083	  0,093	700,067	883,059
  1,360	 -0,081	  0,091	700,071	883,059
  1,370	 -0,078	  0,084	700,084	883,040
  1,380	 -0,084	  0,085	700,087	883,035
  1,390	 -0,081	  0,094	700,064	883,035
  1,400	 -0,077	  0,096	700,060	883,039
  1,410	 -0,076	  0,098	700,047	883,059
  1,420	 -0,077	  0,100	700,072	883,059
  1,430	 -0,078	  0,102	700,118	883,059
  1,440	 -0,083	  0,109	700,094	883,059
  1,450	 -0,082	  0,112	700,072	883,059
  1,460	 -0,082	  0,111	700,044	883,041
  1,470	 -0,082	  0,111	700,033	883,035
  1,480	 -0,083	  0,108	700,083	883,035
  1,490	 -0,081	  0,108	700,089	883,038
  1,500	 -0,077	  0,106	700,101	883,059
  1,510	 -0,074	  0,104	700,095	883,052
  1,520	 -0,080	  0,103	700,082	883,035
  1,530	 -0,081	  0,097	700,066	883,035
  1,540	 -0,080	  0,094	700,050	883,035
  1,550	 -0,079	  0,090	700,040	883,018
  1,560	 -0,080	  0,090	700,036	883,010
  1,570	 -0,076	  0,096	700,022	883,032
  1,580	 -0,082	  0,097	700,022	883,035
  1,590	 -0,081	  0,099	700,059	883,035
  1,600	 -0,079	  0,098	700,060	883,041
  1,610	 -0,077	  0,097	700,062	883,059
  1,620	 -0,079	  0,102	700,035	883,049
  1,630	 -0,082	  0,105	700,000	883,035
  1,640	 -0,077	  0,110	700,031	883,050
  1,650	 -0,077	  0,111	700,049	883,059
  1,660	 -0,079	  0,108	700,049	883,059
  1,670	 -0,081	  0,108	700,049	883,059
  1,680	 -0,080	  0,106	700,019	883,035
  1,690	 -0,080	  0,104	700,032	883,035
  1,700	 -0,079	  0,101	700,083	883,035
  1,710	 -0,077	  0,101	700,077	883,035
  1,720	 -0,074	  0,101	700,067	883,035
  1,730	 -0,077	  0,097	700,095	883,035
  1,740	 -0,078	  0,096	700,116	883,035
  1,750	 -0,080	  0,091	700,051	883,035
  1,760	 -0,079	  0,091	700,031	883,035
  1,770	 -0,083	  0,095	700,034	883,035
  1,780	 -0,081	  0,096	700,041	883,035
  1,790	 -0,084	  0,099	700,081	883,035
  1,800	 -0,076	  0,101	700,049	883,035
  1,810	 -0,084	  0,103	699,986	883,035
  1,820	 -0,083	  0,104	699,998	883,035
  1,830	 -0,079	  0,105	700,009	883,035
  1,840	 -0,085	  0,113	700,023	883,035
  1,850	 -0,081	  0,113	700,029	883,035
  1,860	 -0,079	  0,107	700,042	883,035
  1,870	 -0,077	  0,106	700,040	883,035
  1,880	 -0,079	  0,104	700,001	883,035
  1,890	 -0,082	  0,101	700,018	883,035
  1,900	 -0,079	  0,098	700,060	883,035
  1,910	 -0,083	  0,097	700,073	883,035
  1,920	 -0,080	  0,097	700,087	883,035
  1,930	 -0,079	  0,094	700,055	883,051
  1,940	 -0,078	  0,094	700,039	883,059
  1,950	 -0,079	  0,097	700,074	883,038
  1,960	 -0,080	  0,096	700,077	883,035
  1,970	 -0,081	  0,093	700,032	883,035
  1,980	 -0,079	  0,099	700,032	883,035
  1,990	 -0,078	  0,105	700,033	883,035
  2,000	 -0,076	  0,104	700,026	883,035
  2,010	 -0,081	  0,104	700,017	883,035
  2,020	 -0,086	  0,106	700,032	883,035
  2,030	 -0,078	  0,107	700,042	883,035
  2,040	 -0,077	  0,107	700,074	883,035
  2,050	 -0,079	  0,106	700,081	883,035
  2,060	 -0,077	  0,101	700,029	883,035
  2,070	 -0,080	  0,103	700,031	883,035
  2,080	 -0,077	  0,104	700,040	883,035
  2,090	 -0,082	  0,100	700,048	883,035
  2,100	 -0,080	  0,097	700,061	883,035
  2,110	 -0,079	  0,096	700,046	883,035
  2,120	 -0,079	  0,096	700,034	883,035
  2,130	 -0,083	  0,090	700,080	883,035
  2,140	 -0,082	  0,090	700,094	883,035
  2,150	 -0,080	  0,095	700,079	883,035
  2,160	 -0,077	  0,098	700,085	883,035
  2,170	 -0,077	  0,103	700,129	883,035
  2,180	 -0,085	  0,102	700,090	883,035
  2,190	 -0,076	  0,100	700,010	883,035
  2,200	 -0,076	  0,105	700,010	883,035
  2,210	 -0,081	  0,107	700,010	883,035
  2,220	 -0,082	  0,112	700,047	883,018
  2,230	 -0,081	  0,112	700,062	883,010
  2,240	 -0,078	  0,105	700,066	883,032
  2,250	 -0,081	  0,104	700,066	883,033
  2,260	 -0,078	  0,102	700,059	883,010
  2,270	 -0,079	  0,102	700,064	883,017
  2,280	 -0,082	  0,102	700,077	883,035
  2,290	 -0,080	  0,099	700,047	883,035
  2,300	 -0,077	  0,097	700,013	883,035
  2,310	 -0,077	  0,094	700,090	883,035
  2,320	 -0,079	  0,093	700,129	883,035
  2,330	 -0,077	  0,095	700,067	883,035
  2,340	 -0,080	  0,095	700,058	883,035
  2,350	 -0,084	  0,096	700,105	883,035
  2,360	 -0,080	  0,098	700,086	883,035
  2,370	 -0,078	  0,102	700,021	883,035
  2,380	 -0,078	  0,104	700,040	883,035
  2,390	 -0,080	  0,106	700,067	883,035
  2,400	 -0,084	  0,105	700,053	883,035
  2,410	 -0,080	  0,105	700,044	883,035
  2,420	 -0,079	  0,107	700,013	883,035
  2,430	 -0,072	  0,107	700,006	883,035
  2,440	 -0,084	  0,106	700,070	883,011
  2,450	 -0,083	  0,104	700,071	883,015
  2,460	 -0,080	  0,100	700,070	883,035
  2,470	 -0,077	  0,100	700,074	883,026
  2,480	 -0,080	  0,100	700,082	883,010
  2,490	 -0,083	  0,097	700,078	883,024
  2,500	 -0,082	  0,096	700,075	883,035
  2,510	 -0,080	  0,096	700,066	883,035
  2,520	 -0,078	  0,095	700,063	883,035
  2,530	 -0,083	  0,090	700,071	883,035
  2,540	 -0,079	  0,094	700,070	883,035
  2,550	 -0,079	  0,102	700,056	883,035
  2,560	 -0,079	  0,103	700,055	883,035
  2,570	 -0,078	  0,104	700,052	883,035
  2,580	 -0,079	  0,104	700,071	883,022
  2,590	 -0,082	  0,104	700,088	883,010
  2,600	 -0,081	  0,106	700,083	883,028
  2,610	 -0,084	  0,107	700,081	883,035
  2,620	 -0,077	  0,107	700,078	883,035
  2,630	 -0,076	  0,107	700,077	883,033
  2,640	 -0,082	  0,108	700,075	883,010
  2,650	 -0,084	  0,104	700,072	883,010
  2,660	 -0,081	  0,099	700,064	883,010
  2,670	 -0,079	  0,099	700,084	883,022
  2,680	 -0,079	  0,099	700,109	883,035
  2,690	 -0,080	  0,096	700,080	883,035
  2,700	 -0,081	  0,095	700,064	883,035
  2,710	 -0,077	  0,088	700,076	883,035
  2,720	 -0,080	  0,091	700,077	883,035
  2,730	 -0,083	  0,101	700,026	883,035
  2,740	 -0,079	  0,101	700,029	883,035
  2,750	 -0,079	  0,101	700,042	883,035
  2,760	 -0,077	  0,104	700,037	883,035
  2,770	 -0,077	  0,107	700,030	883,035
  2,780	 -0,080	  0,110	700,049	883,035
  2,790	 -0,082	  0,111	700,061	883,035
  2,800	 -0,077	  0,107	700,100	883,035
  2,810	 -0,081	  0,107	700,110	883,035
  2,820	 -0,081	  0,106	700,044	883,035
  2,830	 -0,079	  0,104	700,042	883,031
  2,840	 -0,081	  0,100	700,037	883,010
  2,850	 -0,077	  0,098	700,035	883,019
  2,860	 -0,078	  0,096	700,030	883,035
  2,870	 -0,077	  0,095	700,028	883,021
  2,880	 -0,075	  0,095	700,026	883,010
  2,890	 -0,075	  0,092	700,094	883,010
  2,900	 -0,082	  0,092	700,118	883,010
  2,910	 -0,080	  0,097	700,098	883,010
  2,920	 -0,081	  0,098	700,093	883,013
  2,930	 -0,081	  0,101	700,064	883,035
  2,940	 -0,077	  0,100	700,056	883,035
  2,950	 -0,080	  0,099	700,037	883,035
  2,960	 -0,080	  0,103	700,029	883,023
  2,970	 -0,083	  0,104	700,021	883,010
  2,980	 -0,081	  0,110	700,027	883,010
  2,990	 -0,078	  0,111	700,030	883,010
  3,000	 -0,080	  0,106	700,048	883,010
  3,010	 -0,076	  0,106	700,048	883,012
  3,020	 -0,080	  0,103	700,017	883,035
  3,030	 -0,077	  0,101	700,031	883,035
  3,040	 -0,083	  0,099	700,069	883,035
  3,050	 -0,082	  0,099	700,064	883,024
  3,060	 -0,080	  0,099	700,059	883,010
  3,070	 -0,077	  0,093	700,070	883,010
  3,080	 -0,079	  0,092	700,077	883,010
  3,090	 -0,082	  0,092	700,025	883,010
  3,100	 -0,078	  0,092	700,015	883,010
  3,110	 -0,078	  0,091	700,053	883,010
  3,120	 -0,077	  0,095	700,045	883,016
  3,130	 -0,083	  0,102	700,013	883,035
  3,140	 -0,077	  0,101	700,033	883,035
  3,150	 -0,077	  0,100	700,064	883,035
  3,160	 -0,076	  0,104	700,076	883,020
  3,170	 -0,080	  0,105	700,084	883,010
  3,180	 -0,080	  0,109	700,049	883,010
  3,190	 -0,082	  0,108	700,039	883,010
  3,200	 -0,082	  0,106	700,046	883,010
  3,210	 -0,080	  0,104	700,059	883,014
  3,220	 -0,078	  0,099	700,126	883,035
  3,230	 -0,079	  0,099	700,100	883,035
  3,240	 -0,076	  0,098	700,051	883,035
  3,250	 -0,074	  0,097	700,024	883,022
  3,260	 -0,075	  0,096	700,001	883,010
  3,270	 -0,077	  0,088	700,022	883,010
  3,280	 -0,082	  0,088	700,030	883,010
  3,290	 -0,081	  0,097	700,058	883,010
  3,300	 -0,080	  0,097	700,055	883,010
  3,310	 -0,079	  0,097	700,013	883,010
  3,320	 -0,077	  0,097	700,033	883,010
  3,330	 -0,082	  0,096	700,079	883,010
  3,340	 -0,082	  0,100	700,083	883,010
  3,350	 -0,077	  0,103	700,087	883,010
  3,360	 -0,081	  0,110	700,064	883,010
  3,370	 -0,078	  0,111	700,053	883,010
  3,380	 -0,076	  0,108	700,023	883,032
  3,390	 -0,079	  0,108	700,025	883,033
  3,400	 -0,079	  0,108	700,119	883,010
  3,410	 -0,083	  0,101	700,098	883,017
  3,420	 -0,082	  0,094	700,033	883,035
  3,430	 -0,078	  0,095	700,034	883,024
  3,440	 -0,080	  0,096	700,034	883,010
  3,450	 -0,081	  0,093	700,024	883,026
  3,460	 -0,084	  0,093	700,019	883,035
  3,470	 -0,082	  0,088	700,039	883,035
  3,480	 -0,077	  0,090	700,043	883,035
  3,490	 -0,077	  0,097	700,065	883,010
  3,500	 -0,082	  0,098	700,065	883,010
  3,510	 -0,084	  0,100	700,064	883,010
  3,520	 -0,084	  0,102	700,070	883,010
  3,530	 -0,078	  0,104	700,079	883,010
  3,540	 -0,075	  0,107	700,053	883,010
  3,550	 -0,082	  0,108	700,034	883,010
  3,560	 -0,079	  0,112	700,031	883,010
  3,570	 -0,075	  0,112	700,030	883,010
  3,580	 -0,078	  0,108	700,075	883,034
  3,590	 -0,081	  0,104	700,072	883,031
  3,600	 -0,086	  0,097	700,043	883,010
  3,610	 -0,082	  0,100	700,050	883,010
  3,620	 -0,078	  0,103	700,062	883,010
  3,630	 -0,078	  0,098	700,060	883,010
  3,640	 -0,081	  0,097	700,059	883,010
  3,650	 -0,084	  0,092	700,083	883,010
  3,660	 -0,079	  0,092	700,093	883,010
  3,670	 -0,079	  0,094	700,042	883,010
  3,680	 -0,080	  0,096	700,029	883,010
  3,690	 -0,078	  0,100	699,953	883,010
  3,700	 -0,079	  0,101	700,004	883,010
  3,710	 -0,080	  0,102	700,131	883,010
  3,720	 -0,075	  0,103	700,086	883,022
  3,730	 -0,079	  0,104	700,037	883,035
  3,740	 -0,081	  0,105	700,098	883,019
  3,750	 -0,079	  0,106	700,128	883,010
  3,760	 -0,080	  0,109	700,064	883,010
  3,770	 -0,079	  0,108	700,054	883,010
  3,780	 -0,076	  0,106	700,080	883,010
  3,790	 -0,079	  0,103	700,083	883,010
  3,800	 -0,083	  0,100	700,092	883,010
  3,810	 -0,081	  0,100	700,055	883,010
  3,820	 -0,081	  0,099	700,006	883,010
  3,830	 -0,078	  0,096	700,034	883,010
  3,840	 -0,082	  0,095	700,051	883,010
  3,850	 -0,080	  0,091	700,100	883,010
  3,860	 -0,074	  0,091	700,111	883,010
  3,870	 -0,077	  0,093	700,044	883,010
  3,880	 -0,082	  0,094	700,051	883,010
  3,890	 -0,083	  0,096	700,080	883,010
  3,900	 -0,082	  0,099	700,059	883,010
  3,910	 -0,079	  0,101	700,026	883,010
  3,920	 -0,079	  0,107	700,060	883,010
  3,930	 -0,079	  0,109	700,085	883,010
  3,940	 -0,077	  0,110	700,031	883,010
  3,950	 -0,078	  0,109	700,014	883,010
  3,960	 -0,076	  0,102	700,043	883,010
  3,970	 -0,081	  0,102	700,045	883,010
  3,980	 -0,080	  0,101	700,047	883,010
  3,990	 -0,080	  0,101	700,057	883,010
  4,000	 -0,080	  0,101	700,077	883,010
  4,010	 -0,079	  0,099	700,051	883,010
  4,020	 -0,081	  0,098	700,027	883,010
  4,030	 -0,081	  0,089	700,018	883,010
  4,040	 -0,080	  0,089	700,014	883,010
  4,050	 -0,078	  0,094	700,053	883,010
  4,060	 -0,078	  0,096	700,058	883,010
  4,070	 -0,080	  0,102	700,067	883,010
  4,080	 -0,082	  0,102	700,056	883,010
  4,090	 -0,075	  0,103	700,026	883,010
  4,100	 -0,080	  0,103	700,055	883,010
  4,110	 -0,082	  0,103	700,087	883,010
  4,120	 -0,082	  0,107	700,076	883,010
  4,130	 -0,082	  0,108	700,070	883,010
  4,140	 -0,079	  0,110	700,109	883,010
  4,150	 -0,081	  0,109	700,115	883,010
  4,160	 -0,081	  0,105	700,087	883,010
  4,170	 -0,078	  0,103	700,077	883,010
  4,180	 -0,081	  0,101	700,044	883,010
  4,190	 -0,079	  0,100	700,051	883,010
  4,200	 -0,082	  0,100	700,062	883,010
  4,210	 -0,079	  0,097	700,056	883,010
  4,220	 -0,078	  0,096	700,052	883,010
  4,230	 -0,077	  0,087	700,029	883,010
  4,240	 -0,077	  0,088	700,023	883,010
  4,250	 -0,079	  0,092	700,086	883,010
  4,260	 -0,080	  0,096	700,081	883,010
  4,270	 -0,082	  0,101	700,054	883,010
  4,280	 -0,080	  0,103	700,050	883,010
  4,290	 -0,082	  0,105	700,043	883,010
  4,300	 -0,080	  0,107	700,059	882,997
  4,310	 -0,077	  0,108	700,072	882,986
  4,320	 -0,081	  0,108	700,076	883,004
  4,330	 -0,078	  0,108	700,077	883,010
  4,340	 -0,080	  0,109	700,006	883,010
  4,350	 -0,082	  0,108	700,010	883,010
  4,360	 -0,078	  0,105	700,067	883,010
  4,370	 -0,078	  0,099	700,052	883,010
  4,380	 -0,081	  0,094	700,021	883,010
  4,390	 -0,084	  0,097	700,066	883,010
  4,400	 -0,084	  0,098	700,108	883,010
  4,410	 -0,077	  0,091	700,076	883,010
  4,420	 -0,078	  0,090	700,061	883,010
  4,430	 -0,078	  0,094	700,036	883,010
  4,440	 -0,078	  0,096	700,035	883,010
  4,450	 -0,079	  0,100	700,064	883,010
  4,460	 -0,078	  0,100	700,050	883,010
  4,470	 -0,080	  0,101	700,010	883,010
  4,480	 -0,079	  0,103	700,038	883,010
  4,490	 -0,079	  0,104	700,071	883,010
  4,500	 -0,081	  0,110	700,032	883,010
  4,510	 -0,078	  0,111	700,011	883,010
  4,520	 -0,078	  0,111	700,015	883,010
  4,530	 -0,081	  0,110	700,016	883,010
  4,540	 -0,078	  0,107	700,023	883,010
  4,550	 -0,078	  0,102	700,034	883,010
  4,560	 -0,076	  0,096	700,072	883,010
  4,570	 -0,084	  0,097	700,055	883,010
  4,580	 -0,080	  0,098	700,032	883,010
  4,590	 -0,081	  0,097	700,062	883,010
  4,600	 -0,081	  0,096	700,083	883,010
  4,610	 -0,078	  0,088	700,054	883,010
  4,620	 -0,080	  0,089	700,046	883,010
  4,630	 -0,081	  0,093	700,040	882,987
  4,640	 -0,079	  0,095	700,036	882,986
  4,650	 -0,077	  0,098	700,016	882,986
  4,660	 -0,084	  0,100	700,023	882,995
  4,670	 -0,083	  0,102	700,036	883,010
  4,680	 -0,082	  0,107	700,057	882,997
  4,690	 -0,072	  0,109	700,075	882,986
  4,700	 -0,077	  0,106	700,063	883,004
  4,710	 -0,083	  0,107	700,058	883,010
  4,720	 -0,080	  0,109	699,971	883,010
  4,730	 -0,082	  0,106	699,973	883,010
  4,740	 -0,076	  0,100	700,036	883,010
  4,750	 -0,079	  0,101	700,038	883,010
  4,760	 -0,082	  0,102	700,043	883,010
  4,770	 -0,078	  0,098	700,026	883,010
  4,780	 -0,078	  0,097	700,010	883,010
  4,790	 -0,078	  0,090	700,076	883,010
  4,800	 -0,081	  0,089	700,105	883,010
  4,810	 -0,078	  0,090	700,049	883,010
  4,820	 -0,081	  0,092	700,045	883,010
  4,830	 -0,080	  0,100	700,096	883,010
  4,840	 -0,081	  0,099	700,099	883,010
  4,850	 -0,075	  0,098	700,107	883,010
  4,860	 -0,079	  0,101	700,069	883,010
  4,870	 -0,081	  0,104	700,023	883,010
  4,880	 -0,078	  0,108	700,046	883,010
  4,890	 -0,081	  0,109	700,059	883,010
  4,900	 -0,083	  0,118	700,010	883,010
  4,910	 -0,080	  0,116	700,001	883,010
  4,920	 -0,081	  0,107	700,074	883,010
  4,930	 -0,077	  0,104	700,066	883,005
  4,940	 -0,076	  0,100	700,034	882,986
  4,950	 -0,082	  0,101	700,052	882,986
  4,960	 -0,089	  0,102	700,080	882,986
  4,970	 -0,081	  0,096	700,040	882,986
  4,980	 -0,077	  0,094	700,013	882,986
  4,990	 -0,080	  0,092	700,065	882,986
  5,000	 -0,079	  0,092	700,080	882,986
  5,010	  1,133	  0,095	700,057	883,010
  5,020	 10,375	  7,887	700,055	883,007
  5,030	 10,925	 22,359	700,047	882,986
  5,040	 10,922	 22,335	700,061	882,995
  5,050	 10,920	 22,315	700,087	883,010
  5,060	 10,921	 22,283	700,083	883,010
  5,070	 10,924	 22,271	700,080	883,010
  5,080	 10,926	 22,233	700,059	883,010
  5,090	 10,925	 22,224	700,051	883,010
  5,100	 10,927	 22,186	700,023	883,010
  5,110	 10,928	 22,170	700,030	883,008
  5,120	 10,925	 22,134	700,108	882,986
  5,130	 10,921	 22,114	700,102	882,993
  5,140	 10,922	 22,093	700,087	883,010
  5,150	 10,921	 22,063	700,067	883,010
  5,160	 10,921	 22,048	700,047	883,010
  5,170	 10,917	 22,009	700,042	882,994
  5,180	 10,921	 22,001	700,040	882,986
  5,190	 10,925	 21,964	700,028	882,986
  5,200	 10,924	 21,956	700,027	882,986
  5,210	 10,924	 21,932	700,026	882,986
  5,220	 10,923	 21,916	700,033	882,986
  5,230	 10,925	 21,895	700,053	882,986
  5,240	 10,924	 21,878	700,078	882,986
  5,250	 10,922	 21,868	700,110	882,986
  5,260	 10,912	 21,840	700,064	883,001
  5,270	 10,913	 21,833	700,037	883,010
  5,280	 10,919	 21,803	700,059	883,010
  5,290	 10,920	 21,795	700,064	883,010
  5,300	 10,928	 21,759	700,044	882,986
  5,310	 10,925	 21,744	700,042	882,986
  5,320	 10,925	 21,720	700,030	882,986
  5,330	 10,923	 21,700	700,044	882,996
  5,340	 10,921	 21,686	700,067	883,010
  5,350	 10,918	 21,652	700,051	882,996
  5,360	 10,917	 21,641	700,040	882,986
  5,370	 10,919	 21,603	700,053	882,986
  5,380	 10,914	 21,596	700,057	882,986
  5,390	 10,916	 21,567	700,067	882,986
  5,400	 10,920	 21,557	700,062	882,986
  5,410	 10,919	 21,538	700,029	882,986
  5,420	 10,923	 21,518	700,041	882,986
  5,430	 10,926	 21,500	700,066	882,986
  5,440	 10,924	 21,474	700,054	882,999
  5,450	 10,922	 21,463	700,043	883,010
  5,460	 10,920	 21,439	700,051	883,010
  5,470	 10,916	 21,433	700,054	883,010
  5,480	 10,918	 21,401	700,077	882,988
  5,490	 10,920	 21,389	700,073	882,989
  5,500	 10,918	 21,357	700,010	883,010
  5,510	 10,915	 21,339	700,012	883,003
  5,520	 10,921	 21,319	700,019	882,986
  5,530	 10,922	 21,296	700,054	882,998
  5,540	 10,922	 21,284	700,093	883,010
  5,550	 10,928	 21,251	700,066	883,010
  5,560	 10,920	 21,244	700,053	883,010
  5,570	 10,922	 21,214	700,050	882,990
  5,580	 10,917	 21,208	700,052	882,986
  5,590	 10,917	 21,191	700,087	882,986
  5,600	 10,920	 21,183	700,097	882,986
  5,610	 10,918	 21,173	700,127	882,986
  5,620	 10,919	 21,153	700,108	882,986
  5,630	 10,920	 21,141	700,084	882,986
  5,640	 10,919	 21,123	700,067	882,986
  5,650	 10,918	 21,119	700,057	882,986
  5,660	 10,922	 21,095	700,045	882,986
  5,670	 10,923	 21,088	700,042	882,986
  5,680	 10,923	 21,058	700,101	882,986
  5,690	 10,920	 21,044	700,092	882,986
  5,700	 10,916	 21,021	700,051	882,986
  5,710	 10,918	 21,005	700,076	882,986
  5,720	 10,918	 20,992	700,115	882,986
  5,730	 10,916	 20,965	700,091	882,986
  5,740	 10,920	 20,956	700,073	882,986
  5,750	 10,921	 20,923	700,068	882,986
  5,760	 10,927	 20,919	700,067	882,986
  5,770	 10,921	 20,903	700,053	882,986
  5,780	 10,918	 20,895	700,054	882,986
  5,790	 10,918	 20,877	700,064	882,986
  5,800	 10,922	 20,864	700,065	882,986
  5,810	 10,925	 20,852	700,065	882,986
  5,820	 10,914	 20,834	700,052	882,986
  5,830	 10,920	 20,827	700,040	882,986
